songplays_id,track_id,track_name,track_duration,track_is_explicit,track_popularity,track_played_at,album_id,album_name,album_release_year,album_type,artist_name,artist_name_others,artist_id,artist_id_others,track_danceability,track_energy,track_key,track_loudness,track_mode,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,artist_popularity,artist_followers,artist_genre,artist_genre_others
1,5OJpD5HRK4P8YQJOO3R73r,Ojitos Chiquitos,3.88355,False,48,2021-08-31 01:13:58,0IgFMNaQOaDkq4qclYOK9d,Ojitos Chiquitos,2021,album,Rafa Pabön,Jowell & Randy,11YLRSsZA3YVuQQtHXKTlz,4IMAo2UQchVFyPH24PAjUs,0.913,0.764,11,-3.347,1,0.108,0.35,8.03e-05,0.226,0.756,74,140955,dominican pop,"reggaeton, reggaeton flow, trap latino"
2,4PPmh2V4sm0cxYY0yGpOB7,Peligro,3.23155,False,18,2021-08-31 01:10:05,0GERlfOuy87BuTAcwuO5Kb,Top Of The Line,2006,album,"Tito ""El Bambino""",,5fJsY7afrbsyzJj9wdzJMh,,0.789,0.828,10,-5.634,1,0.0384,0.196,9.24e-06,0.0809,0.754,71,2673288,latin,"latin hip hop, latin pop, reggaeton, reggaeton flow, trap latino"
3,3iQOfefMGDVDwo8dZoco8T,PORFA,3.8833333333333333,False,66,2021-08-31 01:06:51,0FtoBBioPqwfaFNRhvv0dc,PORFA,2019,album,Feid,Justin Quiles,2LRoIwlKmHjgvigdNGBHNo,14zUHaJZo1mnYtn6IBRaRP,0.843,0.549,6,-8.018,0,0.164,0.0948,0.0,0.155,0.541,82,644758,colombian pop,"latin, pop reggaeton, reggaeton, reggaeton colombiano, trap latino"
4,48FsqSKpgoZZFr6aS1IDK5,"All Up 2 You (feat. Akon, Wisin & Yandel)",3.6346666666666665,False,54,2021-08-31 01:00:18,57tmzh0hsnWU8znnvEWJbe,The Last,2009,album,Aventura,"Wisin & Yandel, Akon",1qto4hHid1P71emI6Fd8xi,"1wZtkThiXbVNtj6hee6dz9, 0z4gvV4rjIZ9wHck67ucSV",0.767,0.751,0,-9.536,0,0.0391,0.000631,0.000195,0.186,0.617,85,4781140,bachata,"bachata dominicana, latin, latin hip hop, latin pop, trap latino, tropical"
5,1W8fFucWFU1qjuM4a3NrOV,Mía (feat. Justin Quiles),3.70155,False,16,2021-08-31 00:56:39,4aXhgJO6CGh36yoptVYobO,Gravedad,2015,album,Jayma & Dalex,Justin Quiles,1tEoRuYNswtAqU7wiuippg,14zUHaJZo1mnYtn6IBRaRP,0.656,0.906,4,-4.552,1,0.114,0.0774,0.0,0.123,0.609,26,34411,reggaeton flow,
6,0AcyzaV0ExtUN5cxgs5Cmq,Llevo Tras de Ti,3.8988833333333335,False,39,2021-08-31 00:52:56,7E8t3ndNuKlNoV0nYA8QWM,"Pina Records Presenta : La Fórmula , the Company",2012,album,Plan B,"Daddy Yankee, Arcangel",2jSGzJw0ebJLu7OLVSOcBP,"4VMYDCV2IEDYJArk749S6m, 4SsVbpTthjScTS7U2hmr1X",0.767,0.868,6,-4.492,1,0.0865,0.172,6.82e-05,0.178,0.843,77,1362214,latin,"reggaeton, trap latino"
7,4M6xyu1AHnaWAN8lHMNeo0,Volando,3.14285,True,60,2021-08-31 00:47:09,5r8T7S23cVDSd7a045h4N5,Primer Dia de Clases,2021,album,Mora,,0Q8NcsJwoCbZOHHW63su5S,,0.751,0.595,6,-7.794,1,0.187,0.0577,0.0,0.0828,0.776,84,158553,reggaeton,trap latino
8,6LgGKcMoXvDtKgAp2znkKQ,La Reunión De Los Vaqueros,5.5451,False,51,2021-08-31 00:44:00,4mIV2lIQfHszWU28kvYtJ1,"Los Vaqueros, El Regreso",2010,album,Wisin & Yandel,"Cosculluela, Tego Calderon, De La Ghetto, Franco ""El Gorilla""",1wZtkThiXbVNtj6hee6dz9,"00me4Ke1LsvMxt5kydlMyU, 3SUT1jjM5hzZj9TLfLZGIP, 3EiLUeyEcA6fbRPSHkG5kb, 2biH2I1TvZlIIIc5W14oIJ",0.845,0.845,10,-5.674,0,0.136,0.198,1.39e-06,0.126,0.662,83,4634829,electro latino,"latin, latin hip hop, reggaeton, trap latino"
9,6JR8bxrmeDR1UfTSczIbJu,La Perpetua,3.852,False,30,2021-08-31 00:38:27,3YDczjVUEwHo86FwuJAEkY,La Perpetua,2018,album,Nio Garcia,,5hdhHgpxyniooUiQVaPxQ0,,0.683,0.717,11,-4.307,1,0.0656,0.534,0.0,0.109,0.877,87,2187787,latin,"reggaeton, trap latino"
10,0k1K6JUMex7PWie2Mws28D,Party Descontrola'o (Remix) [feat. Guelo Star],3.5789666666666666,True,5,2021-08-31 00:34:36,3xkr73e5aGpjo40kAlGqSO,El Prototipo the Mixtape,2011,album,John Patiño,Guelo Star,5qH9qkVe5GUt6Fcq0LsQOB,54AbdWd0XTHGLorkVwINN2,0.839,0.767,0,-6.903,0,0.12,0.0193,0.0,0.334,0.676,45,33975,,
