artist_rank,artist_id,artist_name,artist_genres,artist_popularity,artist_followers,artist_genre,artist_genre_others
1,1wZtkThiXbVNtj6hee6dz9,Wisin & Yandel,"['electro latino', 'latin', 'latin hip hop', 'reggaeton', 'trap latino']",83,4634829,electro latino,"latin, latin hip hop, reggaeton, trap latino"
2,5XJDexmWFLWOkjOEjOVX3e,Eladio Carrion,"['reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino', 'trap triste']",81,597756,reggaeton,"reggaeton flow, trap boricua, trap latino, trap triste"
3,4q3ewBCX7sLwd24euuV69X,Bad Bunny,"['latin', 'reggaeton', 'trap latino']",100,36717821,latin,"reggaeton, trap latino"
4,0eHQ9o50hj6ZDNBt6Ys1sD,Yandel,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino']",82,5203604,latin,"latin hip hop, reggaeton, reggaeton flow, trap latino"
5,4VMYDCV2IEDYJArk749S6m,Daddy Yankee,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",91,24091521,latin,"latin hip hop, reggaeton, trap latino"
6,33ScadVnbm2X8kkUqOkC6Z,Don Omar,"['latin', 'latin hip hop', 'puerto rican pop', 'reggaeton', 'trap latino']",84,5785285,latin,"latin hip hop, puerto rican pop, reggaeton, trap latino"
7,1i8SpTcr7yvPOmcqrbnVXY,Ozuna,"['latin', 'puerto rican pop', 'reggaeton', 'trap latino']",92,29407403,latin,"puerto rican pop, reggaeton, trap latino"
8,3E6xrwgnVfYCrCs0ePERDz,Wisin,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",87,6976574,latin,"latin hip hop, reggaeton, trap latino"
9,4SsVbpTthjScTS7U2hmr1X,Arcangel,"['latin', 'latin hip hop', 'reggaeton', 'trap latino']",86,6728500,latin,"latin hip hop, reggaeton, trap latino"
10,1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,"['puerto rican pop', 'trap latino']",96,6352179,puerto rican pop,trap latino
11,7tU1VKOuxiNZwBZC6RHidA,Alexis y Fido,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino']",69,3757393,latin,"latin hip hop, reggaeton, reggaeton flow, trap latino"
12,6XFITTl7cFTdopDY3lUdlY,J Alvarez,"['latin', 'latin hip hop', 'perreo', 'reggaeton', 'reggaeton flow', 'trap latino']",72,4003766,latin,"latin hip hop, perreo, reggaeton, reggaeton flow, trap latino"
13,7iK8PXO48WeuP03g8YR51W,Myke Towers,['trap latino'],94,6325413,trap latino,
14,329e4yvIujISKGKz1BZZbO,Farruko,"['latin', 'reggaeton', 'trap latino']",92,10635186,latin,"reggaeton, trap latino"
15,1r4hJ1h58CWwUQe3MxPuau,Maluma,"['latin', 'reggaeton', 'reggaeton colombiano']",91,27020868,latin,"reggaeton, reggaeton colombiano"
16,2oQX8QiMXOyuqbcZEFsZfm,El Alfa,"['dembow', 'latin', 'rap dominicano', 'reggaeton', 'trap latino']",84,1803728,dembow,"latin, rap dominicano, reggaeton, trap latino"
17,5fJsY7afrbsyzJj9wdzJMh,"Tito ""El Bambino""","['latin', 'latin hip hop', 'latin pop', 'reggaeton', 'reggaeton flow', 'trap latino']",71,2673288,latin,"latin hip hop, latin pop, reggaeton, reggaeton flow, trap latino"
18,5hdhHgpxyniooUiQVaPxQ0,Nio Garcia,"['latin', 'reggaeton', 'trap latino']",87,2187787,latin,"reggaeton, trap latino"
19,4IMAo2UQchVFyPH24PAjUs,Jowell & Randy,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino']",76,2945988,latin,"latin hip hop, reggaeton, reggaeton flow, trap latino"
20,3SUT1jjM5hzZj9TLfLZGIP,Tego Calderon,"['latin', 'latin hip hop', 'rap boricua', 'reggaeton', 'trap latino']",75,2548788,latin,"latin hip hop, rap boricua, reggaeton, trap latino"
21,2R21vXR83lH98kGeO99Y66,Anuel AA,"['latin', 'reggaeton', 'reggaeton flow', 'trap boricua', 'trap latino']",90,18499130,latin,"reggaeton, reggaeton flow, trap boricua, trap latino"
22,2TjgzYcbTdsZjbT9OItIeB,"Héctor ""El Father""","['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino']",68,434283,latin,"latin hip hop, reggaeton, reggaeton flow, trap latino"
