track_rank,track_id,track_name,track_duration,track_is_explicit,track_popularity,album_id,album_name,album_release_year,album_type,artist_name,artist_name_others,artist_id,artist_id_others,track_danceability,track_energy,track_key,track_loudness,track_mode,track_speechiness,track_acousticness,track_instrumentalness,track_liveness,track_valence,artist_popularity,artist_followers,artist_genre,artist_genre_others
1,3yaBstYCoYIfiQbAxTAxcT,Nena Buena,2.7415666666666665,False,59,6N1iKBKY8zRGImxADk2IdN,Monarca,2021,album,Eladio Carrion,Lunay,5XJDexmWFLWOkjOEjOVX3e,47MpMsUfWtgyIIBEFOr4FE,0.705,0.703,6,-6.323,0,0.06,0.333,1.67e-06,0.201,0.144,80,492736,reggaeton,"reggaeton flow, trap boricua, trap latino, trap triste"
2,4h4ZykphGhv6HoomNndhm3,Tata,2.7583333333333333,True,64,6N1iKBKY8zRGImxADk2IdN,Monarca,2021,album,Eladio Carrion,J Balvin,5XJDexmWFLWOkjOEjOVX3e,1vyhD5VmyZ7KMfW5gqLgo5,0.722,0.705,0,-6.753,0,0.148,0.793,1.44e-05,0.339,0.447,80,492736,reggaeton,"reggaeton flow, trap boricua, trap latino, trap triste"
3,5RubKOuDoPn5Kj5TLVxSxY,TE MUDASTE,2.1668833333333333,True,86,2d9BCZeAAhiZWPpbX9aPCW,EL ÚLTIMO TOUR DEL MUNDO,2020,album,Bad Bunny,,4q3ewBCX7sLwd24euuV69X,,0.811,0.637,10,-4.835,0,0.0591,0.234,0.000572,0.118,0.471,98,34405295,latin,"reggaeton, trap latino"
4,1Lemz4ontF9cKujEkDWiBO,Aprovechalo,2.822,False,38,6cM4MzyjtE9hJqOEFOjlTL,Los Extraterrestres - Otra Dimension,2007,album,Wisin & Yandel,,1wZtkThiXbVNtj6hee6dz9,,0.794,0.65,11,-5.352,0,0.0536,0.18,8.79e-05,0.252,0.556,83,4504060,electro latino,"latin, latin hip hop, reggaeton, trap latino"
5,2ZWBNTg6Mn6NQkkq4gVec1,Discoteca,4.15,True,56,6N1iKBKY8zRGImxADk2IdN,Monarca,2021,album,Eladio Carrion,"Yandel, Cazzu",5XJDexmWFLWOkjOEjOVX3e,"0eHQ9o50hj6ZDNBt6Ys1sD, 6w3SkAHYPsQ1bxV7VDlG5y",0.736,0.683,0,-5.418,0,0.105,0.463,0.0,0.186,0.441,80,492736,reggaeton,"reggaeton flow, trap boricua, trap latino, trap triste"
6,2zdHRQTOBDk8mM8xBzziFh,Todo o Nada,2.6617333333333333,True,64,6N1iKBKY8zRGImxADk2IdN,Monarca,2021,album,Eladio Carrion,Corina Smith,5XJDexmWFLWOkjOEjOVX3e,7mXfsy3lF4kU0f2KTNKSr8,0.648,0.795,4,-5.188,1,0.21,0.37,0.0,0.133,0.1,80,492736,reggaeton,"reggaeton flow, trap boricua, trap latino, trap triste"
7,7IZn95vTYrhHRbFmZsdD2A,Química (feat. The Martinez Brothers),4.9180166666666665,True,64,3fq06DDIkadDRB9RuBb22v,Afrodisíaco,2020,album,Rauw Alejandro,"Zion & Lennox, Mr. Naisgai, The Martinez Brothers",1mcTU81TzQhprhouKaTkpq,"21451j1KhjAiaYKflxBjr1, 37BIBvfliXJpSgn10yQUJM, 7B1LLuCQk13H4Mb6CFBftU",0.581,0.791,1,-2.99,1,0.157,0.0193,0.0101,0.0765,0.466,95,5295091,puerto rican pop,trap latino
8,28gbcedjSMDS6DHB2t7U03,Ele Uve - Remix,3.8306666666666667,True,60,6N1iKBKY8zRGImxADk2IdN,Monarca,2021,album,Eladio Carrion,"Natanael Cano, Ovi, Noriel",5XJDexmWFLWOkjOEjOVX3e,"0elWFr7TW8piilVRYJUe4P, 4o0NtnL2m0lzZmEdRas1qv, 3RtNN1VnooWEn3KQk03DUL",0.812,0.703,4,-6.129,0,0.0641,0.157,0.0,0.184,0.649,80,492736,reggaeton,"reggaeton flow, trap boricua, trap latino, trap triste"
9,5N7wac4R5h8OD5tQnd6e0h,Animo,3.4208833333333333,False,31,6cM4MzyjtE9hJqOEFOjlTL,Los Extraterrestres - Otra Dimension,2007,album,Wisin & Yandel,Tego Calderon,1wZtkThiXbVNtj6hee6dz9,3SUT1jjM5hzZj9TLfLZGIP,0.762,0.799,1,-4.851,0,0.0817,0.3,2.47e-05,0.209,0.791,83,4504060,electro latino,"latin, latin hip hop, reggaeton, trap latino"
10,12AZXETAZvHYsWlkHjzNsK,Como Tu No Hay Nadie,3.2737666666666665,False,29,6cM4MzyjtE9hJqOEFOjlTL,Los Extraterrestres - Otra Dimension,2007,album,Wisin & Yandel,John Correa,1wZtkThiXbVNtj6hee6dz9,7xh1qfJUMNYtKe5fUzxNJA,0.762,0.768,9,-6.85,0,0.103,0.369,0.0,0.316,0.783,83,4504060,electro latino,"latin, latin hip hop, reggaeton, trap latino"
11,7fQmGtEq94PQCHdureJ08c,Imaginate,3.4424333333333332,False,34,6cM4MzyjtE9hJqOEFOjlTL,Los Extraterrestres - Otra Dimension,2007,album,Wisin & Yandel,Tony Dize,1wZtkThiXbVNtj6hee6dz9,3LKXWvXFWrkwUzJWxzwVpW,0.818,0.737,1,-7.354,1,0.12,0.296,0.0,0.106,0.562,83,4504060,electro latino,"latin, latin hip hop, reggaeton, trap latino"
12,7KKh0ujp8agIiCrkiJhf81,Jangueo,3.862416666666667,True,67,7JtT7OyWM8BnIS5FXXPMKg,Emmanuel,2020,album,Anuel AA,Tego Calderon,2R21vXR83lH98kGeO99Y66,3SUT1jjM5hzZj9TLfLZGIP,0.863,0.728,7,-2.954,1,0.0586,0.396,9.14e-06,0.0902,0.649,90,17759643,latin,"reggaeton, reggaeton flow, trap boricua, trap latino"
13,29ALFy2tIjfBCozsToSnZg,Tu Cuerpo Me Llama,3.0817666666666668,False,28,6cM4MzyjtE9hJqOEFOjlTL,Los Extraterrestres - Otra Dimension,2007,album,Wisin & Yandel,Gadiel Veguilla,1wZtkThiXbVNtj6hee6dz9,5RRrBmoGH5fpnnJ8C45bhC,0.748,0.709,11,-6.123,0,0.22,0.0715,0.0,0.0407,0.738,83,4504060,electro latino,"latin, latin hip hop, reggaeton, trap latino"
14,26w9NTiE9NGjW1ZvIOd1So,BOOKER T,2.6071666666666666,True,79,2d9BCZeAAhiZWPpbX9aPCW,EL ÚLTIMO TOUR DEL MUNDO,2020,album,Bad Bunny,,4q3ewBCX7sLwd24euuV69X,,0.883,0.6,7,-7.188,1,0.37,0.114,7.94e-06,0.0931,0.691,98,34405295,latin,"reggaeton, trap latino"
15,4oO8HV1rGgXIGklt8HYjJR,Satisfacción,3.0688833333333334,True,60,2TUgzZ8XOE8jm7tDpU4iME,Los Favoritos 2,2020,album,Arcangel,Myke Towers,4SsVbpTthjScTS7U2hmr1X,7iK8PXO48WeuP03g8YR51W,0.854,0.715,11,-5.618,0,0.207,0.0691,0.0,0.0651,0.581,86,6503183,latin,"latin hip hop, reggaeton, trap latino"
16,2TDASAexPx3WzMRKV7anoy,Porque Me Tratas Así?,4.059333333333333,False,34,6cM4MzyjtE9hJqOEFOjlTL,Los Extraterrestres - Otra Dimension,2007,album,Wisin & Yandel,,1wZtkThiXbVNtj6hee6dz9,,0.787,0.559,0,-7.274,1,0.046,0.15,0.0,0.0936,0.52,83,4504060,electro latino,"latin, latin hip hop, reggaeton, trap latino"
17,0r8ZTj61xBtfUMrAOiOPvG,Mami Me Pregunta Si Trapeo,3.3365833333333335,True,55,6N1iKBKY8zRGImxADk2IdN,Monarca,2021,album,Eladio Carrion,,5XJDexmWFLWOkjOEjOVX3e,,0.84,0.703,5,-5.18,0,0.0965,0.637,7.31e-06,0.111,0.479,80,492736,reggaeton,"reggaeton flow, trap boricua, trap latino, trap triste"
18,22Sh5dlwbERqJAq1fZk5b2,De Cora <3,3.1683333333333334,True,77,3fq06DDIkadDRB9RuBb22v,Afrodisíaco,2020,album,Rauw Alejandro,J Balvin,1mcTU81TzQhprhouKaTkpq,1vyhD5VmyZ7KMfW5gqLgo5,0.811,0.683,11,-2.028,0,0.241,0.46,4.75e-05,0.128,0.571,95,5295091,puerto rican pop,trap latino
19,3KZjrz47rzU8D6EpGTXKr2,Progreso,3.33055,True,62,6N1iKBKY8zRGImxADk2IdN,Monarca,2021,album,Eladio Carrion,,5XJDexmWFLWOkjOEjOVX3e,,0.736,0.694,0,-5.202,0,0.0698,0.741,0.0,0.0772,0.717,80,492736,reggaeton,"reggaeton flow, trap boricua, trap latino, trap triste"
20,6eDBFpEuJgWZBQOn76gZPV,Síguelo,3.562666666666667,False,49,6cM4MzyjtE9hJqOEFOjlTL,Los Extraterrestres - Otra Dimension,2007,album,Wisin & Yandel,,1wZtkThiXbVNtj6hee6dz9,,0.626,0.925,3,-4.447,0,0.294,0.481,0.0,0.27,0.591,83,4504060,electro latino,"latin, latin hip hop, reggaeton, trap latino"
21,4Q5oewKBqBAMMvCgON6QKk,Emilio & Gloria,4.47955,False,52,2TUgzZ8XOE8jm7tDpU4iME,Los Favoritos 2,2020,album,Arcangel,Wisin & Yandel,4SsVbpTthjScTS7U2hmr1X,1wZtkThiXbVNtj6hee6dz9,0.75,0.712,0,-3.986,1,0.0994,0.0427,2.39e-05,0.0594,0.692,86,6503183,latin,"latin hip hop, reggaeton, trap latino"
22,2ZkB3qD5O6DS7dTnoqxlYp,Tus Sabanas,3.2426666666666666,False,49,6cM4MzyjtE9hJqOEFOjlTL,Los Extraterrestres - Otra Dimension,2007,album,Wisin & Yandel,,1wZtkThiXbVNtj6hee6dz9,,0.779,0.9,6,-5.434,0,0.0667,0.181,0.0,0.093,0.816,83,4504060,electro latino,"latin, latin hip hop, reggaeton, trap latino"
23,2XIc1pqjXV3Cr2BQUGNBck,LA NOCHE DE ANOCHE,3.3866666666666667,False,90,2d9BCZeAAhiZWPpbX9aPCW,EL ÚLTIMO TOUR DEL MUNDO,2020,album,Bad Bunny,ROSALÍA,4q3ewBCX7sLwd24euuV69X,7ltDVBr6mKbRvohxheJ9h1,0.856,0.618,7,-4.892,1,0.286,0.0303,0.0,0.0866,0.391,98,34405295,latin,"reggaeton, trap latino"
24,5AdNZqyB8T3XCfAglRyjMg,Dame Un Poquito,3.794,False,43,6cM4MzyjtE9hJqOEFOjlTL,Los Extraterrestres - Otra Dimension,2007,album,Wisin & Yandel,,1wZtkThiXbVNtj6hee6dz9,,0.764,0.918,3,-4.294,0,0.0799,0.301,0.0,0.303,0.914,83,4504060,electro latino,"latin, latin hip hop, reggaeton, trap latino"
25,3pnpENd2PXAKuetjLIylEr,Tussi,3.157766666666667,True,64,2TUgzZ8XOE8jm7tDpU4iME,Los Favoritos 2,2020,album,Arcangel,"Justin Quiles, Eladio Carrion, De La Ghetto",4SsVbpTthjScTS7U2hmr1X,"14zUHaJZo1mnYtn6IBRaRP, 5XJDexmWFLWOkjOEjOVX3e, 3EiLUeyEcA6fbRPSHkG5kb",0.833,0.886,1,-4.722,0,0.0607,0.256,0.0,0.082,0.698,86,6503183,latin,"latin hip hop, reggaeton, trap latino"
26,0tjZv2hChdHZCW1zFXpy1J,HOY COBRÉ,2.7025166666666665,True,73,2d9BCZeAAhiZWPpbX9aPCW,EL ÚLTIMO TOUR DEL MUNDO,2020,album,Bad Bunny,,4q3ewBCX7sLwd24euuV69X,,0.86,0.725,11,-6.7,1,0.249,0.0464,9.1e-05,0.0994,0.375,98,34405295,latin,"reggaeton, trap latino"
27,49vwUeeauJgEQxDViXA01C,Al Natural (feat. Yandel),3.4057666666666666,True,64,69rKlAM3KXEHw6vPtM6e9L,El Enemy de Los Guasíbiri,2004,album,Tego Calderon,,3SUT1jjM5hzZj9TLfLZGIP,,0.924,0.782,10,-4.55,0,0.0816,0.246,0.0,0.0659,0.745,73,2431511,latin,"latin hip hop, rap boricua, reggaeton, trap latino"
28,0vGdK81Se6SK7dcIaU3Xyd,Hielo - Remix,3.7853333333333334,True,45,2xx0ajBaOvCKDgGCgEHNIA,Sauce Boyz Care Package,2020,album,Eladio Carrion,"Jhay Cortez, Dalex",5XJDexmWFLWOkjOEjOVX3e,"0EFisYRi20PTADoJrifHrz, 0KPX4Ucy9dk82uj4GpKesn",0.709,0.51,7,-9.788,1,0.213,0.542,0.0,0.0687,0.546,80,492736,reggaeton,"reggaeton flow, trap boricua, trap latino, trap triste"
29,3kml9ZdpT7UYk1ugkjqOzt,Don Don,4.598216666666667,True,71,5xBO97P4jYEn69VzV06503,Don Don,2020,album,Daddy Yankee,"Anuel AA, Kendo Kaponi",4VMYDCV2IEDYJArk749S6m,"2R21vXR83lH98kGeO99Y66, 1WMwuNKzEFtU6pPkdtryYS",0.838,0.819,5,-4.681,0,0.211,0.285,6.3e-05,0.224,0.656,90,23470554,latin,"latin hip hop, reggaeton, trap latino"
30,5jZ32WOU7sqzDYbzINwMUk,SORRY PAPI,2.71755,True,72,2d9BCZeAAhiZWPpbX9aPCW,EL ÚLTIMO TOUR DEL MUNDO,2020,album,Bad Bunny,ABRA,4q3ewBCX7sLwd24euuV69X,3ZJxEmjYZd5VOqZ8o3aXiL,0.612,0.561,1,-6.054,1,0.0851,0.0601,0.0,0.145,0.393,98,34405295,latin,"reggaeton, trap latino"
31,5fROvzNghPid8mbKNDYvpJ,YO VISTO ASÍ,3.1921,False,75,2d9BCZeAAhiZWPpbX9aPCW,EL ÚLTIMO TOUR DEL MUNDO,2020,album,Bad Bunny,,4q3ewBCX7sLwd24euuV69X,,0.688,0.881,7,-4.889,0,0.0474,0.0947,0.0,0.0804,0.677,98,34405295,latin,"reggaeton, trap latino"
32,67ACYA3UI6QMNtHX6b34wX,LA DROGA,2.7049833333333333,True,71,2d9BCZeAAhiZWPpbX9aPCW,EL ÚLTIMO TOUR DEL MUNDO,2020,album,Bad Bunny,,4q3ewBCX7sLwd24euuV69X,,0.643,0.727,1,-5.506,1,0.0389,0.0439,0.0,0.123,0.295,98,34405295,latin,"reggaeton, trap latino"
33,4MzXwWMhyBbmu6hOcLVD49,DÁKITI,3.4181666666666666,True,88,2d9BCZeAAhiZWPpbX9aPCW,EL ÚLTIMO TOUR DEL MUNDO,2020,album,Bad Bunny,Jhay Cortez,4q3ewBCX7sLwd24euuV69X,0EFisYRi20PTADoJrifHrz,0.731,0.573,4,-10.059,0,0.0544,0.401,5.22e-05,0.113,0.145,98,34405295,latin,"reggaeton, trap latino"
34,0EN2SYJ62iC28m51bBx2N2,Presión,3.0664333333333333,False,27,6cM4MzyjtE9hJqOEFOjlTL,Los Extraterrestres - Otra Dimension,2007,album,Wisin & Yandel,,1wZtkThiXbVNtj6hee6dz9,,0.778,0.774,11,-6.676,0,0.26,0.419,0.0,0.346,0.618,83,4504060,electro latino,"latin, latin hip hop, reggaeton, trap latino"
35,0j1VxrPkMyFGvz0jZzxUoZ,Dembow 2020,2.80085,False,69,1UqfVKRwKsOqyxIbgA4iAy,Quien Contra Mi 2,2020,album,Yandel,Rauw Alejandro,0eHQ9o50hj6ZDNBt6Ys1sD,1mcTU81TzQhprhouKaTkpq,0.786,0.811,8,-4.31,1,0.0836,0.122,3.99e-06,0.161,0.731,81,5056936,latin,"latin hip hop, reggaeton, reggaeton flow, trap latino"
36,73ERt6sbMtVNgo4PTROP3z,Toretto,3.05,True,57,6N1iKBKY8zRGImxADk2IdN,Monarca,2021,album,Eladio Carrion,,5XJDexmWFLWOkjOEjOVX3e,,0.656,0.622,4,-8.538,0,0.0779,0.206,0.0,0.111,0.165,80,492736,reggaeton,"reggaeton flow, trap boricua, trap latino, trap triste"
37,4UxD6L5uah5Dvzs5kQwThG,Cuando Baila Reggaeton,3.074666666666667,True,56,1walNH2TBWePmw3KT3BDJ5,The Underdog - El Subestimado,2006,album,Tego Calderon,Yandel,3SUT1jjM5hzZj9TLfLZGIP,0eHQ9o50hj6ZDNBt6Ys1sD,0.848,0.801,10,-6.821,1,0.102,0.562,1.11e-05,0.0624,0.908,73,2431511,latin,"latin hip hop, rap boricua, reggaeton, trap latino"
38,2WzUy86kPLYRLRwLtinZ1x,Rifles Rusos,4.358333333333333,True,55,7JtT7OyWM8BnIS5FXXPMKg,Emmanuel,2020,album,Anuel AA,Tego Calderon,2R21vXR83lH98kGeO99Y66,3SUT1jjM5hzZj9TLfLZGIP,0.713,0.77,4,-4.779,0,0.101,0.0587,0.000501,0.339,0.684,90,17759643,latin,"reggaeton, reggaeton flow, trap boricua, trap latino"
39,4z6wo6PJG4Fve45OXK6D9m,Infeliz,3.68505,False,73,0CPLMVp7rMi3BkzAMve96K,Historias de un Capricornio,2019,album,Arcangel,Bad Bunny,4SsVbpTthjScTS7U2hmr1X,4q3ewBCX7sLwd24euuV69X,0.713,0.798,1,-3.147,1,0.219,0.366,4.3e-06,0.246,0.721,86,6503183,latin,"latin hip hop, reggaeton, trap latino"
40,42ohrhuQgFX9rtKcgUUFuk,Pidiendo Calor,3.0797666666666665,False,28,6cM4MzyjtE9hJqOEFOjlTL,Los Extraterrestres - Otra Dimension,2007,album,Wisin & Yandel,,1wZtkThiXbVNtj6hee6dz9,,0.78,0.783,2,-7.002,1,0.105,0.137,0.000172,0.366,0.66,83,4504060,electro latino,"latin, latin hip hop, reggaeton, trap latino"
41,4loQgPwJHocL3dFwLfjb1J,Reloj,3.8599,True,80,3fq06DDIkadDRB9RuBb22v,Afrodisíaco,2020,album,Rauw Alejandro,Anuel AA,1mcTU81TzQhprhouKaTkpq,2R21vXR83lH98kGeO99Y66,0.823,0.537,8,-2.627,1,0.211,0.176,3.75e-06,0.124,0.608,95,5295091,puerto rican pop,trap latino
